row_num,chain,project,symbol,rewardTokens,pool,stablecoin,ilRisk,exposure,poolMeta,underlyingTokens
1,Ethereum,lido,STETH,None,747c1d2a-c668-4682-b9f9-296708a3dd90,FALSE,no,single,,None
2,Tron,justlend,BTC,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,71418c17-d2aa-4eff-b68a-806fff9ec951,FALSE,no,single,,TN3W4H6rK2ce4vX9YnFQHwKENnHjoxb3m9
3,Ethereum,makerdao,USDC,None,051c1a54-df05-4bc4-9d73-c17508acae23,TRUE,no,single,PSM-USDC-A,None
4,Ethereum,coinbase-wrapped-staked-eth,CBETH,None,0f45d730-b279-4629-8e11-ccb5cc3038b4,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
5,Ethereum,curve,ETH-STETH,"0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32, 0xD533a949740bb3306d119CC777fa900bA034cd52",57d30b9c-fc66-4ac2-b666-69ad5f410cce,FALSE,no,multi,,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE, 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"
6,Ethereum,aave-v2,STETH,None,0e458a5b-fd99-4667-8706-dd938934cb0c,FALSE,no,single,,0xae7ab96520de3a18e5e111b5eaab095312d7fe84
7,Ethereum,makerdao,WETH,None,51d2f8d4-1fb5-4f6b-938b-e9cd17ca1ceb,FALSE,no,single,ETH-C,None
8,Ethereum,convex-finance,ETH-STETH,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32",5ce23e7e-3800-4c9c-ad30-6db3db0515a1,FALSE,no,multi,,"0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE, 0xae7ab96520DE3A18E5e111B5EaAb095312D7fE84"
9,Ethereum,makerdao,WETH,None,54600482-cfb9-4dd9-a73b-342cffd4644a,FALSE,no,single,ETH-A,None
10,Ethereum,aave-v2,WETH,None,f2726d05-1f8d-4b9c-80e3-43d03d85d117,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
11,Ethereum,rocket-pool,RETH,None,d4b3c522-6127-4b89-bedf-83641cdcd2eb,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
12,Ethereum,makerdao,WSTETH,None,51eb4b5c-6d62-42fe-99d6-92ba6eecd2d5,FALSE,no,single,WSTETH-A,None
13,Ethereum,liquity,WETH,None,ddd25534-e3d5-4e4e-9b99-d3102323ac61,FALSE,no,single,,None
14,Ethereum,aave-v2,WBTC,None,40e0d8b7-5eba-4d6c-a3c2-9ac375bcd4bf,FALSE,no,single,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
15,Ethereum,curve,DAI-USDC-USDT,0xD533a949740bb3306d119CC777fa900bA034cd52,25171c4c-1877-449a-9f88-45a9f153ee31,TRUE,no,multi,,"0x6B175474E89094C44Da98b954EedeAC495271d0F, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48, 0xdAC17F958D2ee523a2206206994597C13D831ec7"
16,Ethereum,curve,FRAX-USDC,0xD533a949740bb3306d119CC777fa900bA034cd52,3f6aa14f-eb0c-4738-bf74-8bc666f7d2b1,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"
17,Ethereum,makerdao,GUSD,None,efbf1a35-0756-41b1-b230-166ed4809314,TRUE,no,single,PSM-GUSD-A,None
18,Ethereum,curve,FRAX-3CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,8d989d6c-99ba-447e-8f3d-3aca98e993fd,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
19,Ethereum,convex-finance,FRAX-3CRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0",844a8a29-4653-42e6-b675-a6b43fac3678,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490"
20,Ethereum,compound,WETH,,1e5da7c6-59bb-49bd-9f97-4f4fceeffad4,FALSE,no,single,,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
21,Ethereum,makerdao,PAX,None,6ece81c6-2b1d-4513-ad1c-eaf9d52f67cb,FALSE,no,single,PSM-PAX-A,None
22,Arbitrum,gmx,GLP,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,825688c0-c694-4a6b-8497-177e425b7348,FALSE,yes,single,,0x4277f8F2c384827B5273592FF7CeBd9f2C1ac258
23,Ethereum,makerdao,WSTETH,None,ccc467d1-bdf5-4062-81cd-7aed7dd9050b,FALSE,no,single,WSTETH-B,None
24,Ethereum,convex-finance,FRAX-USDC,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",bd072651-d99c-4154-aeae-51f12109c054,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"
25,BSC,venus,WBNB,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,747b58ab-aefd-42e1-a312-01ad5a0ab7f5,FALSE,no,single,,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c
26,Arbitrum,gmx,GMX,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,4df7d373-6214-4a73-9bd3-ca6e5683d846,FALSE,no,single,,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a
27,Ethereum,compound,WBTC,,1d876729-4445-4623-8b6b-c5290db5d100,FALSE,no,single,,0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599
28,Ethereum,convex-finance,CVX,0x62B9c7356A2Dc64a1969e19C23e4f579F9810Aa7,777032e6-e815-4f44-90b4-abb98f0f9632,FALSE,no,single,,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B
29,Ethereum,compound,DAI,0xc00e94cb662c3520282e6f5717214004a7f26888,cc110152-36c2-4e10-9c12-c5b4eb662143,TRUE,no,single,,0x6B175474E89094C44Da98b954EedeAC495271d0F
30,Ethereum,aave-v2,USDC,None,a349fea4-d780-4e16-973e-70ca9b606db2,TRUE,no,single,,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
31,Polygon,autofarm,PAUTO-WETH,None,8825504b-1d5d-439f-94b2-f0cfb9fd5695,FALSE,yes,multi,Magician,0xCecc7e26d0987281b7dA1E3c757161Ed6B20AF6f
32,Ethereum,compound,USDC,0xc00e94cb662c3520282e6f5717214004a7f26888,cefa9bb8-c230-459a-a855-3b94e96acd8c,TRUE,no,single,,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48
33,Ethereum,balancer,WSTETH-WETH,0xba100000625a3754423978a60c9317c58a424e3d,4cc5df76-f81d-49fe-9e1e-4caa6a8dad0b,FALSE,no,multi,,"0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
34,BSC,venus,BTCB,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,87c8ee0d-b812-47c1-803f-f91a3907079e,FALSE,no,single,,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c
35,Ethereum,balancer,BAL-WETH,None,30eedaf4-83f7-418b-985b-89478d4b90e6,FALSE,yes,multi,,"0xba100000625a3754423978a60c9317c58a424e3d, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
36,Ethereum,uniswap-v3,DAI-USDC,None,1193ef25-862b-43c1-a545-91bbb9678d30,TRUE,no,multi,0.01%,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
37,Tron,justlend,USDD,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,53b3663f-9096-49df-8787-f6ea3b6d0612,TRUE,no,single,,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn
38,Ethereum,arrakis-finance,DAI-USDC,None,94c6fd56-9837-4202-9ece-db02a9ac1171,TRUE,no,multi,,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
39,Ethereum,makerdao,G-UNI,None,f38a1e55-ee6a-427c-83b5-74232e1b2c24,FALSE,yes,multi,GUNIV3DAIUSDC2-A,None
40,Tron,justlend,USDC,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,fa2f8727-4234-4394-ae55-588d97307b34,TRUE,no,single,,TEkxiTehnzSmSe2XqrBj4w32RUN966rdz8
41,Ethereum,aura,WSTETH-WETH,"0xba100000625a3754423978a60c9317c58a424e3d, 0xc0c293ce456ff0ed870add98a0828dd4d2903dbf",6429fd3b-af61-4e15-a4b4-34819fb8f4ea,FALSE,no,multi,,"0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
42,Ethereum,curve,FRAX-FPI,0xD533a949740bb3306d119CC777fa900bA034cd52,b03c1486-fde6-4f75-a89a-068f9aa19d0f,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x5Ca135cB8527d76e932f34B5145575F9d8cbE08E"
43,Ethereum,convex-finance,FRAX-FPI,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b",b302f3bb-ceb3-4121-95a6-6bb1fdb42326,TRUE,no,multi,,"0x853d955aCEf822Db058eb8505911ED77F175b99e, 0x5Ca135cB8527d76e932f34B5145575F9d8cbE08E"
44,Ethereum,uniswap-v3,DAI-USDC,None,26298be5-691a-42e6-817b-07f72e70cd4f,TRUE,no,multi,0.05%,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
45,Ethereum,uniswap-v3,WBTC-WETH,None,c5599b3a-ea73-4017-a867-72eb971301d1,FALSE,yes,multi,0.30%,"0x2260fac5e5542a773aa44fbcfedf7c193bc2c599, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
46,Ethereum,arrakis-finance,DAI-USDC,None,2431aeec-d0b9-4e62-ab5e-ff8718ad45fc,TRUE,no,multi,,"0x6b175474e89094c44da98b954eedeac495271d0f, 0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48"
47,Ethereum,makerdao,G-UNI,None,1b91b7d4-0438-41ee-8224-41adba87422d,FALSE,yes,multi,GUNIV3DAIUSDC1-A,None
48,BSC,pancakeswap,CAKE-WBNB,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,32038bbe-b72d-49ab-aa17-37d61d44c579,FALSE,yes,multi,,"0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82, 0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c"
49,Ethereum,convex-finance,CVXCRV,"0xd533a949740bb3306d119cc777fa900ba034cd52, 0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b, 0x6c3F90f043a72FA612cbac8115EE7e52BDe6E490",ef32dd3b-a03b-4f79-9b65-8420d7e04ad0,FALSE,yes,single,,0xD533a949740bb3306d119CC777fa900bA034cd52
50,Ethereum,makerdao,WETH,None,44c94cb2-8af3-4b7a-8cb5-0784ddcf3471,FALSE,no,single,ETH-B,None
51,Tron,justlend,USDT,TPYmHEhy5n8TCEfYGqW2rPxsghSfzghPDn,dac406f6-5600-437e-849d-f03daa383864,TRUE,no,single,,TR7NHqjeKQxGTCi8q8ZY4pL8otSzgjLj6t
52,Ethereum,uniswap-v3,USDC-WETH,None,665dc8bc-c79d-4800-97f7-304bf368e547,FALSE,yes,multi,0.05%,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
53,BSC,alpaca-finance,BNB,None,392a0641-c3e2-460f-82a8-fabf02bddb96,FALSE,no,single,,None
54,Ethereum,uniswap-v3,USDC-WETH,None,49717ee2-9808-4288-b76d-e658195b7979,FALSE,yes,multi,0.30%,"0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48, 0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2"
55,Ethereum,makerdao,MATIC,None,dd1a7465-3151-430b-b4b7-939bc958ea52,FALSE,no,single,MATIC-A,None
