protocol_slug,protocol_id,size_mb,status_code,error,retries
wbtc,2,0.25,200,,0
curve-dex,3,34.07,200,,0
aave-v2,111,13.45,200,,0
harvest-finance,112,6.5,200,,0
yearn-finance,113,11.99,200,,0
compound-v2,114,5.46,200,,0
synthetix-v1+v2,115,0.84,200,,0
balancer-v1,116,36.21,200,,0
renvm,117,2.98,200,,0
sky-lending,118,3.12,200,,0
sushiswap,119,98.88,200,,2
cream-lending,121,11.12,200,,0
nexus-mutual,122,0.77,200,,0
dforce,123,4.27,200,,0
keep-network,124,0.75,200,,0
mstable-cdp,125,1.95,200,,0
loopring,126,4.68,200,,0
kyberswap-classic,127,18.65,200,,0
hegic,128,0.88,200,,0
xdai-stake-bridge,129,27.37,200,,0
the-tokenized-bitcoin,130,0.39,200,,0
barnbridge,131,1.17,200,,0
hbtc,132,0.34,200,,0
shell-protocol,133,0.94,200,,0
pickle,134,8.28,200,,0
kava-mint,135,0.93,200,,0
rari-capital,136,8.41,200,,0
bepswap,137,0.09,200,,0
hakka-finance,138,1.22,200,,0
snowswap,139,1.83,200,,0
kava-lend,140,2.36,200,,0
outcome-finance,141,3.94,200,,0
swerve,142,0.53,200,,0
flexa,143,0.39,200,,0
dydx-v3,144,0.7,200,,0
serum,145,14.49,200,,0
dodo-amm,146,26.57,200,,0
tornado-cash,148,1.94,200,,0
b.protocol,149,2.38,200,,0
idle,150,3.34,200,,0
rhino.fi,151,3.76,200,,0
augur,152,0.66,200,,0
cofix,153,0.45,200,,0
rook,155,1.7,200,,0
zlot,156,0.48,200,,0
88mph,157,3.81,200,,0
dracula,158,0.5,200,,0
growth-defi,159,1.41,200,,0
homora-v2,160,4.16,200,,0
boringdao,161,5.57,200,,0
bancor-v2.1,162,16.16,200,,0
fortube,163,5.98,200,,0
valuedefi,164,1.86,200,,0
cover-protocol,165,0.4,200,,0
truefi,166,1.82,200,,0
piedao,167,4.92,200,,0
dev-protocol,168,0.58,200,,0
basis-cash,169,0.65,200,,0
finnexus,170,1.23,200,,0
synlev,171,0.15,200,,0
index-coop,172,3.82,200,,0
badger-dao,173,1.54,200,,0
bt.finance,174,0.11,200,,0
n3rd-finance,175,0.93,200,,0
mushrooms-finance,176,3.27,200,,0
defi-saver,177,1.41,200,,0
varen,179,2.31,200,,0
mantra-dao,181,12.06,200,,0
lido,182,1.48,200,,0
wing-finance,183,3.44,200,,0
wanswap-dex,186,1.13,200,,0
unagii,187,0.65,200,,0
indexed-finance,188,3.02,200,,0
1inch-network,189,17.71,200,,0
dhedge,190,1.14,200,,0
opium,191,2.13,200,,0
governor-dao,192,1.36,200,,0
unit-protocol,193,1.3,200,,0
pancakeswap-amm,194,4.85,200,,0
defidollar-dao,195,0.52,200,,0
fantom,196,0.0,200,,0
ooki,197,5.03,200,,0
sablier-legacy,199,11.72,200,,0
bella-protocol,200,1.62,200,,0
saddle-finance,202,3.77,200,,0
siren,203,1.78,200,,0
alchemix,204,2.4,200,,0
goose-finance,205,0.56,200,,0
xtoken,206,2.18,200,,0
unslashed,207,0.52,200,,0
acryptos,208,2.33,200,,0
autofarm,209,16.73,200,,0
yaxis,210,1.5,200,,0
smoothy,211,0.84,200,,0
venus-core-pool,212,7.73,200,,0
onx-finance,213,3.25,200,,0
raydium-amm,214,47.08,200,,0
strudel-finance,215,0.31,200,,0
auctus,216,0.7,200,,0
connext,217,5.09,200,,0
cvault-finance,218,1.74,200,,0
ddex,219,0.84,200,,0
vesper,220,2.84,200,,0
defi-swap,221,1.92,200,,0
definer,222,1.95,200,,0
derivadex,223,0.87,200,,0
domani-protocol,224,5.57,200,,0
enzyme-finance,225,18.57,200,,0
erasure,226,0.48,200,,0
creamswap,227,1.01,200,,0
futureswap,228,1.06,200,,0
gnosis-protocol-v1,229,2.43,200,,0
idex-classic,230,11.23,200,,0
lightning-network,231,0.4,200,,0
mcdex,232,0.95,200,,0
metronome-v1,233,0.42,200,,0
notional-v2,234,0.64,200,,0
peakdefi,235,1.11,200,,0
perlin,236,0.41,200,,0
swipe,237,1.37,200,,0
ellipsis-finance,238,3.62,200,,0
pooltogether-v3,239,4.23,200,,0
polygon-bridge-&-staking,240,18.04,200,,0
powerpool,241,3.0,200,,0
energiswap,242,0.36,200,,0
flamincome,243,0.88,200,,0
wepiggy,244,8.38,200,,0
pangolin,246,3.42,200,,0
jarvis-network,247,2.05,200,,0
stakedao,249,14.63,200,,0
basketdao,250,0.45,200,,0
parallel-protocol,251,1.37,200,,0
bifi,253,3.65,200,,0
bunny,254,0.64,200,,0
fei-protocol,255,0.66,200,,0
allinx,256,0.07,200,,0
xdefi,257,0.81,200,,0
wasabix,258,2.59,200,,0
snowball,259,12.78,200,,0
mirror,260,0.23,200,,0
cometh,261,3.62,200,,0
primitive,262,0.73,200,,0
qian,263,0.62,200,,0
robo-advisor-for-yield,264,0.86,200,,0
reflexer,265,0.4,200,,0
set-protocol,266,30.29,200,,0
s-finance,267,0.86,200,,0
yfii,269,0.99,200,,0
liquity-v1,270,0.64,200,,0
honeyswap,271,4.63,200,,0
cryptex-v1,272,1.87,200,,0
acoconut,273,0.76,200,,0
olive-cash,274,4.9,200,,0
sharedstake,275,0.9,200,,0
stafi,276,1.85,200,,0
stakewise-v2,277,0.68,200,,0
ankr,278,1.72,200,,0
stakehound,279,0.41,200,,0
oxygen,280,0.71,200,,0
ribbon,281,2.42,200,,0
yam-finance,282,0.53,200,,0
orca,283,34.53,200,,0
serum-swap,284,2.3,200,,0
opyn-gamma,285,1.98,200,,0
mango-markets-v3,286,0.65,200,,0
0.exchange,287,0.84,200,,0
yetiswap,289,1.31,200,,0
penguin-finance,290,2.8,200,,0
integral,291,1.39,200,,0
swapr-v2,292,2.8,200,,0
lydia,293,2.65,200,,0
anchor,294,0.42,200,,0
stacks-staking,295,0.26,200,,0
zookeeper,296,0.94,200,,0
hyper-finance,298,0.86,200,,0
levinswap,299,25.92,200,,0
bondappetit,300,0.09,200,,0
nerve,301,1.49,200,,0
spookyswap-v2,302,12.53,200,,0
zilswap,303,0.33,200,,0
flamingo-finance,304,0.36,200,,0
quickswap-dex,306,9.08,200,,0
wault,307,0.16,200,,0
ruler,308,0.4,200,,0
belt-finance,310,2.17,200,,0
spiritswap-amm,311,40.94,200,,0
stacker-ventures,312,0.6,200,,0
viperswap,313,64.3,200,,0
gondola-finance,314,0.64,200,,0
tulip-protocol,315,0.48,200,,0
secretswap,316,0.43,200,,0
hyperjump,317,6.57,200,,0
dfyn-network,318,9.78,200,,0
convex-finance,319,21.42,200,,0
depth,320,0.44,200,,0
ram-protocol,321,0.97,200,,0
yogi-finance,322,0.18,200,,0
fluity,323,0.33,200,,0
unicly,324,0.7,200,,0
mochiswap,325,3.16,200,,0
beefy,326,7.98,200,,0
youswap,327,5.83,200,,0
steakbank-finance,328,0.42,200,,0
sovryn-dex,329,0.92,200,,0
aquarius,330,0.37,200,,0
moneyonchain,331,0.34,200,,0
bao-masterchef-v1,332,19.38,200,,0
o3-swap,333,0.75,200,,0
mdex,334,2.55,200,,0
flashstake-old,335,0.55,200,,0
sifchain,336,0.32,200,,0
gmx-v1,337,2.4,200,,0
inverse-finance-frontier,338,1.71,200,,0
lien,339,0.39,200,,0
olympus-dao,340,0.69,200,,0
nsure,341,0.5,200,,0
complifi,342,1.26,200,,0
impermax-v2,343,13.93,200,,0
zkswap,344,3.38,200,,0
alpaca-leveraged-yield-farming,345,4.51,200,,0
yieldly,346,0.24,200,,0
abracadabra-spell,347,2.92,200,,0
filda,348,9.16,200,,0
