index,token_list,api_url,is_enabled
1,1inch,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://tokens.1inch.eth.link,FALSE
2,Aave Token List,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://tokenlist.aave.eth.link,FALSE
3,Agora dataFi Tokens,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://datafi.theagora.eth.link,FALSE
4,BA ERC20 SEC Action,https://raw.githubusercontent.com/The-Blockchain-Association/sec-notice-list/master/ba-sec-list.json,FALSE
5,CMC DeFi,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://defi.cmc.eth.link,FALSE
6,CMC Stablecoin,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://stablecoin.cmc.eth.link,FALSE
7,CMC200 ERC20,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://erc20.cmc.eth.link,FALSE
8,8CompliFi Originals,https://compli.fi/complifi.tokenlist.json,FALSE
9,CoinGecko,https://tokens.coingecko.com/uniswap/all.json,FALSE
10,CoinGecko DeFi 100,https://www.coingecko.com/tokens_list/uniswap/defi_100/v_0_0_0.json,FALSE
11,Compound,https://raw.githubusercontent.com/compound-finance/token-list/master/compound.tokenlist.json,FALSE
12,Defiprime,https://defiprime.com/defiprime.tokenlist.json,FALSE
13,DFO Flexible Org,https://raw.githubusercontent.com/b-u-i-d-l/bazar-tokens-list/master/dist/decentralizedFlexibleOrganizations.json,FALSE
14,Dharma Token List,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://tokenlist.dharma.eth.link,FALSE
15,Furucombo,https://cdn.furucombo.app/furucombo.tokenlist.json,FALSE
16,Gemini Token List,https://www.gemini.com/uniswap/manifest.json,FALSE
17,Kleros Tokens,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://t2crtokens.eth.link,FALSE
18,Kyber,https://api.kyber.network/tokenlist,FALSE
19,Messari Verified,https://messari.io/tokenlist/messari-verified,FALSE
20,MyCrypto Token List,https://uniswap.mycryptoapi.com/,TRUE
21,Opyn Token List,https://raw.githubusercontent.com/opynfinance/opyn-tokenlist/master/opyn-v1.tokenlist.json,FALSE
22,Superchain Token List,https://static.optimism.io/optimism.tokenlist.json,FALSE
23,Roll Social Money,https://app.tryroll.com/tokens.json,FALSE
24,Set,https://raw.githubusercontent.com/SetProtocol/uniswap-tokenlist/main/set.tokenlist.json,FALSE
25,Synthetix,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://synths.snx.eth.link,FALSE
26,Testnet Token List,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://testnet.tokenlist.eth.link,FALSE
27,Token Name Service,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://list.tkn.eth.link,FALSE
28,Uniswap Default List,https://gateway.ipfs.io/ipns/tokens.uniswap.org,FALSE
29,Uniswap Token Pairs,https://raw.githubusercontent.com/jab416171/uniswap-pairtokens/master/uniswap_pair_tokens.json,FALSE
30,UMA,https://umaproject.org/uma.tokenlist.json,FALSE
31,Wrapped Tokens,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://wrapped.tokensoft.eth.link,FALSE
32,Yearn,https://yearn.science/static/tokenlist.json,FALSE
33,Zapper Token List,https://zapper.fi/api/token-list,FALSE
34,Zerion,https://wispy-bird-88a7.uniswap.workers.dev/?url=https://tokenlist.zerion.eth.link,FALSE
